2.51414e+08	9.88239e+07	ms^-1
2.6066e+08	8.01845e+07	ms^-1
2.57826e+08	9.12087e+07	ms^-1
2.86255e+08	1.06584e+08	ms^-1
2.64528e+08	8.91218e+07	ms^-1
2.87432e+08	5.21491e+07	ms^-1
2.29535e+08	5.80118e+07	ms^-1
2.04426e+08	6.88957e+07	ms^-1
1.83909e+08	4.82191e+07	ms^-1
2.28556e+08	4.04409e+07	ms^-1
1.85051e+08	6.23773e+07	ms^-1
2.29612e+08	7.06438e+07	ms^-1
2.13251e+08	6.8599e+07	ms^-1
2.03272e+08	5.75479e+07	ms^-1
2.7636e+08	5.01421e+07	ms^-1
3.05066e+08	9.38319e+07	ms^-1
1.65505e+08	2.66398e+07	ms^-1
2.01658e+08	5.09763e+07	ms^-1
1.97729e+08	4.37383e+07	ms^-1
1.84245e+08	2.46179e+07	ms^-1
